country,m49_code,iso3,join_status,join_method,ne_name,emissions_total_kt_co2e,emissions_density_t_co2e_per_ha
Indonesia,360,IDN,matched,m49_code,Indonesia,271006.0,55.44559884217422
Russian Federation,643,RUS,matched,m49_code,Russia,58845.0,31.14212122062085
United States of America,840,USA,matched,m49_code,United States of America,57262.0,37.04007964050514
Belarus,112,BLR,matched,m49_code,Belarus,46861.0,31.476721090363668
Canada,124,CAN,matched,m49_code,Canada,42493.0,31.02199639355512
Malaysia,458,MYS,matched,m49_code,Malaysia,35955.0,54.36952221960115
Poland,616,POL,matched,m49_code,Poland,31792.0,30.054319363066238
Germany,276,DEU,matched,m49_code,Germany,31183.0,28.08831384544987
Mongolia,496,MNG,matched,m49_code,Mongolia,25829.0,25.1554379923177
Papua New Guinea,598,PNG,matched,m49_code,Papua New Guinea,24139.0,54.45100109177201
Ukraine,804,UKR,matched,m49_code,Ukraine,21707.0,31.501650763704966
Bangladesh,50,BGD,matched,m49_code,Bangladesh,19765.0,55.411486003448324
Zambia,894,ZMB,matched,m49_code,Zambia,16973.0,48.152130433179096
Myanmar,104,MMR,matched,m49_code,Myanmar,15909.0,53.40759167312902
Finland,246,FIN,matched,m49_code,Finland,15582.0,30.97499060731417
Ireland,372,IRL,matched,m49_code,Ireland,12669.0,23.897641359952917
South Sudan,728,SSD,matched,m49_code,South Sudan,11176.0,44.28313310298919
Sweden,752,SWE,matched,m49_code,Sweden,11125.0,30.683899296132036
Lithuania,440,LTU,matched,m49_code,Lithuania,10821.0,30.961904925406444
Uganda,800,UGA,matched,m49_code,Uganda,6632.0,55.53276114716349
France,250,FRA,matched,m49_code,France,6484.0,29.91119824703033
Falkland Islands (Malvinas),238,FLK,matched,m49_code,Falkland Islands,6417.0,22.88949052424317
Ethiopia,231,ETH,matched,m49_code,Ethiopia,6401.0,51.18670633016665
Norway,578,NOR,matched,country_name,Norway,6318.0,25.95055511515097
Argentina,32,ARG,matched,m49_code,Argentina,6215.0,34.10581307929122
Hungary,348,HUN,matched,m49_code,Hungary,6191.0,31.248107245967173
Latvia,428,LVA,matched,m49_code,Latvia,5872.0,30.228774993307663
Estonia,233,EST,matched,m49_code,Estonia,5806.0,30.63787571766295
India,356,IND,matched,m49_code,India,5558.0,54.309165526675784
United Republic of Tanzania,834,TZA,matched,m49_code,United Republic of Tanzania,5186.0,51.24657845588308
Madagascar,450,MDG,matched,m49_code,Madagascar,5074.0,53.38636196248014
Japan,392,JPN,matched,m49_code,Japan,4815.0,30.90004813091609
China,159,CHN,matched,country_name,China,4411.0,29.08076819113798
"China, mainland",156,CHN,matched,m49_code,China,4411.0,29.08076819113798
Viet Nam,704,VNM,matched,m49_code,Vietnam,4275.0,57.02737313910677
Guyana,328,GUY,matched,m49_code,Guyana,3594.0,51.286442056594886
Burundi,108,BDI,matched,m49_code,Burundi,3481.0,51.11450471351796
Congo,178,COG,matched,m49_code,Republic of the Congo,3339.0,55.215636989019714
Australia,36,AUS,matched,m49_code,Australia,3255.0,27.53038491791632
New Zealand,554,NZL,matched,m49_code,New Zealand,2841.0,22.510994017669663
Nepal,524,NPL,matched,m49_code,Nepal,2762.0,42.82236933905952
Denmark,208,DNK,matched,m49_code,Denmark,2624.0,30.49319016408683
Rwanda,646,RWA,matched,m49_code,Rwanda,1899.0,52.26797313662887
Venezuela (Bolivarian Republic of),862,VEN,matched,m49_code,Venezuela,1843.0,52.50861847915895
Cameroon,120,CMR,matched,m49_code,Cameroon,1717.0,57.19139297848245
Sri Lanka,144,LKA,matched,m49_code,Sri Lanka,1418.0,51.34704519119351
Greece,300,GRC,matched,m49_code,Greece,1413.0,30.62153259361997
Bulgaria,100,BGR,matched,m49_code,Bulgaria,1225.0,31.38370097097328
Chile,152,CHL,matched,m49_code,Chile,1189.0,26.115796872254435
Thailand,764,THA,matched,m49_code,Thailand,1187.0,54.38717067583047
Malawi,454,MWI,matched,m49_code,Malawi,952.0,56.70379415093216
Switzerland,756,CHE,matched,m49_code,Switzerland,920.0,28.45830240039594
Iceland,352,ISL,matched,m49_code,Iceland,868.0,23.044655657622258
Colombia,170,COL,matched,m49_code,Colombia,816.0,51.81281351196901
Guinea,324,GIN,matched,m49_code,Guinea,808.0,52.01158673962021
Italy,380,ITA,matched,m49_code,Italy,769.0,31.66694119584912
Panama,591,PAN,matched,m49_code,Panama,765.0,53.11393459695897
Suriname,740,SUR,matched,m49_code,Suriname,725.0,53.359829248546404
