paper_id,include_in_mvp,source_set,authors_year,first_author,year,title,doi,source_url,country,country_iso3,region,lat,lon,geometry_note,theme_block,study_design,study_scale,land_use_system,hydrology_focus,economics_focus,adoption_focus,ghg_focus,pathway_tags,key_finding_short,south_germany_relevance,evidence_strength,caveat,visualization_role,citation_short,validation_status
P001,yes,uploaded_top20,Freeman et al. 2022,Freeman,2022,Responsible agriculture must adapt to the wetland character of mid-latitude peatlands,10.1111/gcb.16152,https://doi.org/10.1111/gcb.16152,International,,Mid-latitude agricultural peatlands,,,Conceptual/review paper; no single study region. Use as global/evidence node.,International synthesis,Review / conceptual synthesis,international_review,responsible agriculture; paludiculture; transition systems,1,1,0,1,responsible_water_table_management|wet_agriculture|paludiculture,Agricultural peatlands should be managed according to their wetland character; water table is central and transition systems may lower adoption barriers.,Strong framing source for productive dairy/forage peatland regions where abrupt full restoration may be difficult.,high_conceptual,Review/conceptual synthesis; not a regional farm-level or hydrological model.,intro_node; transition_frame,Freeman et al. (2022),metadata_ok
P002,yes,uploaded_top20,Temmink et al. 2026,Temmink,2026,Agriculture on wet peatlands: The sustainability potential of paludiculture,,,International,,Global/European synthesis,,,Review paper; no single point geometry.,International synthesis,Review,international_review,low-intensity paludiculture; high-intensity paludiculture; grazing; harvesting,1,1,0,1,low_intensity_paludiculture|high_intensity_paludiculture|wet_grazing|wet_mowing,"Differentiates low- and high-intensity paludiculture; low-intensity use includes grazing and harvesting of grasses, sedges and reed.",Useful for broadening the framing beyond specialised paludiculture crops toward wet grassland use.,high_review,Bibliographic metadata/DOI still requires final validation.,transition_frame; pathway_taxonomy,Temmink et al. (2026),doi_to_check
P003,yes,uploaded_top20,Ziegler et al. 2021,Ziegler,2021,Wet peatland utilisation for climate protection – An international survey of paludiculture innovation,10.1016/j.clet.2021.100305,https://doi.org/10.1016/j.clet.2021.100305,International,,International paludiculture initiatives,,,International survey; use as network/value-chain node rather than one location.,International synthesis / innovation,Exploratory international survey / innovation analysis,international_survey,paludiculture initiatives; biomass; construction; energy; substrate; fodder; food,0,1,1,1,paludiculture|value_chains|market_maturity,"Paludiculture initiatives are diverse internationally but often small, science-driven and not yet economically self-supporting.","Supports the argument that product pathways need market and value-chain development, not only agronomic feasibility.",medium_survey,Exploratory survey; not strong evidence for profitability or GHG effects.,innovation_network; value_chain_context,Ziegler et al. (2021),metadata_ok
P004,yes,uploaded_top20,Liu et al. 2023,Liu,2023,Production in peatlands: Comparing ecosystem services of different land use options following conventional farming,10.1016/j.scitotenv.2023.162534,https://doi.org/10.1016/j.scitotenv.2023.162534,Netherlands,NLD,Dutch peatlands,52.2,5.3,Country-level point for Dutch peatland system comparison.,Land-use pathways / ecosystem services,System/model comparison of land-use alternatives along a water-table gradient,system_model,conventional dairy; organic dairy; low-input grazing/mowing; paludiculture,1,1,0,1,low_input_grazing|wet_mowing|paludiculture|dairy_systems,"Compares conventional/organic dairy, low-input grazing/mowing and paludiculture along a water-table gradient.",Strong for visualising transition options between intensive grassland systems and full wetland restoration.,medium_model,Model/system comparison; not a real farm-level dataset.,pathway_comparison,Liu et al. (2023),metadata_ok
P005,yes,uploaded_top20,Lloyd et al. 2023,Lloyd,2023,State of Knowledge on UK Agricultural Peatlands for Food Production and the Net Zero Transition,10.3390/su152316347,https://doi.org/10.3390/su152316347,United Kingdom,GBR,"UK lowland agricultural peatlands, especially the Fens",52.6,0.1,Approximate point for the English Fens / UK lowland agricultural peat context.,International synthesis / UK case,State-of-knowledge / workshop synthesis,national_synthesis,food production; lowland agricultural peat; net zero transition,1,1,1,1,food_production|net_zero|lowland_peat,"Productive agricultural peatlands are important for food, income and water infrastructure; full rewetting can be socially and practically difficult.",Useful analogue for productive agricultural peat regions where mitigation must be balanced with existing farming systems.,medium_synthesis,UK/Fens-specific and more synthesis/positioning than primary empirical evidence.,case_context,Lloyd et al. (2023),metadata_ok
P006,yes,uploaded_top20,Wils et al. 2025,Wils,2025,Measures to reduce land subsidence and greenhouse gas emissions in peatlands: A Dutch case study,10.1016/j.landusepol.2025.107500,https://doi.org/10.1016/j.landusepol.2025.107500,Netherlands,NLD,Dutch peatland case study,52.2,5.3,Country-level point for Dutch case study.,Hydrology + economics / measures comparison,Measures comparison / synthesis of technical and alternative land-use options,national_case,technical water management; paludiculture; alternative land uses,1,1,1,1,technical_measures|subsidence|paludiculture|risk_tradeoffs,Compares 27 technical measures and alternative land uses across 15 effect dimensions; technical measures are lower-risk but may be less transformative.,"Excellent source for visualising trade-offs between farmer risk, GHG mitigation, subsidence and land-use transformation.",high_synthesis,"Dutch case; transfer depends on peatland type, water management infrastructure and farm systems.",measures_matrix; tradeoff_anchor,Wils et al. (2025),metadata_ok
P007,yes,uploaded_top20,Heuts et al. 2024,Heuts,2024,Shallow drainage of agricultural peatlands without land-use change: Have your peat and eat it too,10.3389/fenvs.2024.1437394,https://doi.org/10.3389/fenvs.2024.1437394,Netherlands,NLD,Dutch agricultural peatlands / dairy grassland context,52.2,5.3,Country-level point; exact study region to validate from full text if needed.,Hydrology + management caveat,Study of shallow drainage without land-use change,field_case,agricultural peatland; shallow drainage; grassland,1,0,0,1,shallow_drainage|continued_intensive_use|caveat,"Water-table management without reduced land-use intensity may provide limited biodiversity, biogeochemical or CO2 mitigation benefits.",Important warning against overselling partial hydrological measures without changes in management intensity.,medium_empirical,Context-specific; should be interpreted with Dutch grassland and water-management conditions in mind.,critical_caveat,Heuts et al. (2024),metadata_ok
P008,yes,uploaded_top20,Jongbloed et al. 2026,Jongbloed,2026,The effect of raised groundwater tables on load-bearing capacity of peat grassland on a dairy farm,10.1016/j.still.2026.107186,https://doi.org/10.1016/j.still.2026.107186,Netherlands,NLD,Dairy peat grassland farm,52.2,5.3,Country-level point; exact farm coordinates not used for privacy/precision.,Hydrology + grassland management,Empirical field study on load-bearing capacity under raised groundwater,farm_field,peat grassland; dairy farm; raised groundwater,1,0,0,0,raised_water_table_pasture|trafficability|load_bearing_capacity,"Raised groundwater tables can reduce load-bearing capacity; effects depend on soil moisture, season and management.",Directly relevant to trafficability concerns in dairy/forage peat grassland systems.,high_empirical,Dutch dairy farm context; machinery systems and soils may differ in South Germany.,constraint_metric,Jongbloed et al. (2026),metadata_ok
P009,yes,uploaded_top20,van Dijk et al. 2026,van Dijk,2026,Evaluating peat pasture performance under elevated groundwater conditions,,,Netherlands,NLD,Peat pasture / dairy grassland context,52.2,5.3,Country-level point; exact region to validate from full metadata.,Hydrology + productivity / South Germany transfer,Empirical or model-supported evaluation of peat pasture under elevated groundwater,farm_field,peat pasture; raised groundwater; dairy grassland,1,0,0,0,raised_water_table_pasture|grass_yield|forage_quality,Raising groundwater from roughly 50 to 20 cm below surface reduced dry matter yield by about 9% while maintaining relatively high grass production and similar quality.,Very strong transfer source for dairy/grassland-oriented peat regions.,high_empirical,DOI and final bibliographic metadata require validation; Dutch peat pasture systems are not identical to Upper Swabia.,south_germany_fit_evidence,van Dijk et al. (2026),doi_to_check
P010,yes,uploaded_top20,Purola & Lehtonen 2022,Purola,2022,Farm-Level Effects of Emissions Tax and Adjustable Drainage on Peatlands,,,Finland,FIN,Finnish cereal and dairy farms on peat soils,63.0,26.0,Country-level point for Finnish farm-level modelling.,Hydrology + economics / policy,Farm-level modelling of emissions tax and adjustable drainage,farm_model,cereal farms; dairy farms; adjustable drainage,1,1,0,1,adjustable_drainage|emissions_tax|farm_level_economics,Models incentives that may move farms toward water-table management; income losses may need compensation beyond production decisions.,Useful for comparing CO2 premium / compensation approaches and farm-level economic exposure.,high_model,Finnish farm structures and policy context differ from South Germany; DOI to validate.,economics_policy_anchor,Purola & Lehtonen (2022),doi_to_check
