field,description
pathway_id,Stable pathway identifier used for joins and UI components.
pathway_name,Full pathway name.
short_label,Short label for charts and diagrams.
transition_position,Order along the drainage-to-restoration transition spectrum.
wetness_gradient_position,Qualitative position on the water-table/wetness gradient.
short_definition,Plain-language definition of the pathway.
typical_current_land_use,Land-use contexts where this pathway is relevant.
water_table_requirement,Qualitative water-table requirement.
water_table_class,Simplified water-table class for filtering and styling.
ghg_mitigation_potential,Qualitative GHG mitigation potential.
ghg_score_1_low_3_high,Simple score for visual encoding; 0 indicates reference/no product score.
methane_risk_note,CH4/N2O caveat where relevant.
trafficability_constraint,Qualitative machinery/access constraint.
trafficability_score_1_low_3_high,"1 low constraint, 2 medium, 3 high."
farm_compatibility,Qualitative compatibility with existing agricultural systems.
farm_compatibility_score_1_low_3_high,"1 low, 2 medium, 3 high compatibility."
market_maturity,Qualitative product/market maturity.
market_maturity_score_1_low_3_high,"0 none/not product-oriented, 1 low, 2 medium, 3 high."
adoption_barrier,Qualitative adoption barrier.
adoption_barrier_score_1_low_3_high,"1 low, 2 medium, 3 high barrier."
south_germany_fit,Qualitative interpretation for South Germany / Upper Swabia.
south_germany_fit_score_1_low_3_high,"1 low, 2 medium, 3 high fit."
main_benefit,Main argument for the pathway.
main_tradeoff,Main risk or trade-off.
key_uncertainty,Main uncertainty to communicate visually.
supporting_papers,Pipe-separated supporting papers.
paper_ids,Pipe-separated IDs linking to papers.csv where possible.
visual_story_role,Role in the Atlas narrative.
visual_encoding_hint,Design hint for visualisation.
atlas_card_title,Title for interactive story card.
atlas_card_text,Short card copy for the prototype.
