type;pattern;replacement;count_before;count_after;status
range_removal;Geführte Kartenstory -> Globale Moorverbreitung;;51135;43476;removed_range_2544_10205
range_removal;After the main map -> Oberschwaben, wo Moorschutz auf Landwirtschaft trifft;;43476;27591;removed_range_12009_27896
section_removal;This guided view is the bridge between the existing explorer layers;;0;0;not_found_or_not_section:marker_not_found
section_removal;Each map layer answers a different question;;0;0;not_found_or_not_section:marker_not_found
section_removal;The map below is the core narrative;;0;0;not_found_or_not_section:marker_not_found
section_removal;The rest of the page is an evidence explorer;;0;0;not_found_or_not_section:marker_not_found
section_removal;Evidence explorer: where are drained organic soil emissions concentrated;;0;0;not_found_or_not_section:marker_not_found
section_removal;Evidence explorer: cases and transition evidence;;0;0;not_found_or_not_section:marker_not_found
section_removal;South Germany fit: which pathways remain plausible;;0;0;not_found_or_not_section:marker_not_found
section_removal;Prototype appendix;;0;0;not_found_or_not_section:marker_not_found
section_removal;How to read this prototype;;0;0;not_found_or_not_section:marker_not_found
section_removal;Current prototype datasets;;0;0;not_found_or_not_section:marker_not_found
section_removal;Baden-Württemberg: where the peat and organic-soil context becomes spatial;;0;0;not_found_or_not_section:marker_not_found
section_removal;Loading country hotspot map;;0;0;not_found_or_not_section:marker_not_found
section_removal;Loading Baden-Württemberg BK50-Moor layer;;0;0;not_found_or_not_section:marker_not_found
replacement;Planbar wird Moorschutz erst, wenn Bodenkulissen, Nutzung, betriebliche Betroffenheit und mögliche Wertschöpfungsketten zusammen betrachtet werden.;Planbar wird Moorschutz erst, wenn Bodenkulissen, Nutzungskontexte, Wasserstand, betriebliche Fragen und mögliche Wertschöpfungsketten zusammen betrachtet werden.;1;0;changed
replacement;Dichtekarten zeigen, wo Belastung räumlich besonders konzentriert ist.;Hotspotkarten zeigen, wo Belastung räumlich besonders deutlich wird.;1;0;changed
replacement;Layerfolge: Global Peatland Map 2.0 als Kontext und Länder-Hotspot-Layer. Alle Bilder wurden aus demselben ArcGIS-Kartenrahmen exportiert.;"Datenbasis: Global Peatland Map 2.0 und FAOSTAT-Emissionsdaten zu drainierten organischen Böden; eigene kartografische Aufbereitung.";1;0;changed
replacement;"Ein Moor ist kein gewöhnlicher Boden. Solange Torf nass bleibt, speichert er Kohlenstoff; wird er entwässert, wird er zur dauerhaften Emissionsquelle. Darum führt die Oberschwaben-Story von Boden und Nutzung direkt zur Frage: Wie lässt sich Wasserstand verändern, ohne Betriebe und Landschaften zu überfordern?";"Moore sind Kohlenstoffspeicher, solange der Torf nass bleibt. Wird ein Moorboden entwässert, gelangt Sauerstoff in den Torfkörper; Torf wird abgebaut und es entstehen Treibhausgasemissionen. Darum führt die Oberschwaben-Story von Boden und Nutzung direkt zur Frage: Wo können höhere Wasserstände, angepasste Nutzung und regionale Wertschöpfung gemeinsam geprüft werden?";0;0;not_found
