file;line;hex;nearest_target_class;nearest_target_distance;context
src/styles.css;3;#0D1210;Schnittmenge;56.62;":root { --bg: #0d1210; --panel: #151d19; --panel-2: #1d2822; --text: #ecf4ef; --muted: #a9bbb"
src/styles.css;4;#151D19;Schnittmenge;45.06;":root { --bg: #0d1210; --panel: #151d19; --panel-2: #1d2822; --text: #ecf4ef; --muted: #a9bbb2; --line: rgba(23"
src/styles.css;5;#1D2822;Schnittmenge;37.23;":root { --bg: #0d1210; --panel: #151d19; --panel-2: #1d2822; --text: #ecf4ef; --muted: #a9bbb2; --line: rgba(236, 244, 239, 0.16);"
src/styles.css;6;#ECF4EF;Dauerkultur / Sondernutzung;198.73;":root { --bg: #0d1210; --panel: #151d19; --panel-2: #1d2822; --text: #ecf4ef; --muted: #a9bbb2; --line: rgba(236, 244, 239, 0.16); --accent: #b6d37c;"
src/styles.css;7;#A9BBB2;Dauerkultur / Sondernutzung;103.2;"0d1210; --panel: #151d19; --panel-2: #1d2822; --text: #ecf4ef; --muted: #a9bbb2; --line: rgba(236, 244, 239, 0.16); --accent: #b6d37c; --accent-2: #79b7a"
src/styles.css;9;#B6D37C;Ackerland;119.21;": #ecf4ef; --muted: #a9bbb2; --line: rgba(236, 244, 239, 0.16); --accent: #b6d37c; --accent-2: #79b7a8; --warn: #e2bf77; --danger: #d98971; --shadow: 0 2"
src/styles.css;10;#79B7A8;Moor-/Feuchtbodenkontext;70.63;"a9bbb2; --line: rgba(236, 244, 239, 0.16); --accent: #b6d37c; --accent-2: #79b7a8; --warn: #e2bf77; --danger: #d98971; --shadow: 0 20px 80px rgba(0,0,0,.35"
src/styles.css;11;#E2BF77;Ackerland;102.11;"gba(236, 244, 239, 0.16); --accent: #b6d37c; --accent-2: #79b7a8; --warn: #e2bf77; --danger: #d98971; --shadow: 0 20px 80px rgba(0,0,0,.35); font-family: I"
src/styles.css;12;#D98971;Ackerland;59.61;"16); --accent: #b6d37c; --accent-2: #79b7a8; --warn: #e2bf77; --danger: #d98971; --shadow: 0 20px 80px rgba(0,0,0,.35); font-family: Inter, ui-sans-serif,"
src/styles.css;204;#172015;Schnittmenge;46.68;"pointer; } button.active, button:hover { background: var(--accent); color: #172015; } .evidence-map { position: relative; min-height: 31rem; overflow: hidd"
src/styles.css;215;#101713;Schnittmenge;51.62;"dial-gradient(circle at 50% 50%, rgba(121,183,168,.12), transparent 30rem), #101713; background-size: 10% 20%, 10% 20%, auto, auto; } .evidence-map::before {"
src/styles.css;350;#182016;Schnittmenge;46.4;"91,119,.82); } .fit-bubble.risk-low { background: rgba(182,211,124,.82); color: #182016; } .data-list { display: flex; flex-wrap: wrap; gap: .8rem; } .data-lis"
src/styles.css;852;#ECFFB0;Ackerland;187.52;"tspot-country.link-active { fill: rgba(208,236,142,.92) !important; stroke: #ecffb0 !important; stroke-width: 2.2 !important; opacity: 1 !important; filter:"
src/styles.css;867;#ECFFB0;Ackerland;187.52;".link-active strong, .hotspot-row.link-active .hotspot-row-head span { color: #ecffb0 !important; } .hotspot-country.link-active { fill: #ecffb0 !important; str"
src/styles.css;871;#ECFFB0;Ackerland;187.52;"d span { color: #ecffb0 !important; } .hotspot-country.link-active { fill: #ecffb0 !important; stroke: #ffffff !important; stroke-width: 2.8 !important; opa"
src/styles.css;872;#FFFFFF;Dauerkultur / Sondernutzung;223.29;"ortant; } .hotspot-country.link-active { fill: #ecffb0 !important; stroke: #ffffff !important; stroke-width: 2.8 !important; opacity: 1 !important; filter:"
src/styles.css;879;#ECFFB0;Ackerland;187.52;"drop-shadow(0 0 9px rgba(236,255,176,.75)); } .hotspot-active-marker { fill: #ecffb0; stroke: #0b1411; stroke-width: 2; pointer-events: none; filter: drop-s"
src/styles.css;880;#0B1411;Schnittmenge;54.21;"rgba(236,255,176,.75)); } .hotspot-active-marker { fill: #ecffb0; stroke: #0b1411; stroke-width: 2; pointer-events: none; filter: drop-shadow(0 0 8px rgba("
src/styles.css;888;#ECFFB0;Ackerland;187.52;"rgba(236,255,176,.8)); } .hotspot-active-marker-ring { fill: none; stroke: #ecffb0; stroke-width: 2; opacity: .72; pointer-events: none; } .hotspot-active-"
src/styles.css;895;#ECFFB0;Ackerland;187.52;": 2; opacity: .72; pointer-events: none; } .hotspot-active-label { fill: #ecffb0; font-size: 14px; font-weight: 800; paint-order: stroke; stroke: #0b141"
src/styles.css;899;#0B1411;Schnittmenge;54.21;"ecffb0; font-size: 14px; font-weight: 800; paint-order: stroke; stroke: #0b1411; stroke-width: 4px; stroke-linejoin: round; pointer-events: none; } .hot"
src/styles.css;2040;#4B7860;Grünland;37.59;"border-radius: 999px; display: inline-block; } .legend-peat { background: #4B7860; } .legend-mosaic { background: #A5A877; } .legend-risk { background: #CF6546;"
src/styles.css;2041;#A5A877;Grünland;86.89;"ne-block; } .legend-peat { background: #4B7860; } .legend-mosaic { background: #A5A877; } .legend-risk { background: #CF6546; } .legend-density { background: #BE7A52;"
src/styles.css;2042;#CF6546;Ackerland;13.93;": #4B7860; } .legend-mosaic { background: #A5A877; } .legend-risk { background: #CF6546; } .legend-density { background: #BE7A52; } .legend-border { background: tran"
src/styles.css;2043;#BE7A52;Ackerland;24.21;"#A5A877; } .legend-risk { background: #CF6546; } .legend-density { background: #BE7A52; } .legend-border { background: transparent; border: 1px solid rgba(216, 21"
src/styles.css;2487;#2F6B4F;Grünland;60.21;".layer-germany-admin { opacity: .86; } .legend-thuenen-extent { background: #2F6B4F; } .legend-thuenen-hh { background: #6E4B78; } .legend-thuenen-mf { background:"
src/styles.css;2488;#6E4B78;Dauerkultur / Sondernutzung;50.69;"legend-thuenen-extent { background: #2F6B4F; } .legend-thuenen-hh { background: #6E4B78; } .legend-thuenen-mf { background: #8E7A4D; } .legend-thuenen-nh { background:"
src/styles.css;2489;#8E7A4D;Grünland;51.57;"} .legend-thuenen-hh { background: #6E4B78; } .legend-thuenen-mf { background: #8E7A4D; } .legend-thuenen-nh { background: #2F6B4F; } .legend-thuenen-tief-hh { backgr"
src/styles.css;2490;#2F6B4F;Grünland;60.21;"} .legend-thuenen-mf { background: #8E7A4D; } .legend-thuenen-nh { background: #2F6B4F; } .legend-thuenen-tief-hh { background: #8A5A63; } .legend-thuenen-tief-nh { b"
