file;group;rank;hex;r;g;b;count;pct_opaque;nearest_target_class;nearest_target_distance
oberschwaben_admin_context.png;exact_top;1;#838383;131;131;131;5935;36.7174;Dauerkultur / Sondernutzung;49.91
oberschwaben_admin_context.png;exact_top;2;#818181;129;129;129;4072;25.1918;Dauerkultur / Sondernutzung;49.83
oberschwaben_admin_context.png;exact_top;3;#828282;130;130;130;2820;17.4462;Dauerkultur / Sondernutzung;49.84
oberschwaben_admin_context.png;exact_top;4;#FFFFFF;255;255;255;1432;8.8592;Dauerkultur / Sondernutzung;223.29
oberschwaben_admin_context.png;exact_top;5;#4E4E4E;78;78;78;174;1.0765;Grünland;67.31
oberschwaben_admin_context.png;exact_top;6;#F4F4F4;244;244;244;95;0.5877;Dauerkultur / Sondernutzung;204.76
oberschwaben_admin_context.png;exact_top;7;#D8D8D8;216;216;216;70;0.4331;Dauerkultur / Sondernutzung;158.16
oberschwaben_admin_context.png;exact_top;8;#7A7A7A;122;122;122;56;0.3464;Dauerkultur / Sondernutzung;51.42
oberschwaben_admin_context.png;exact_top;9;#6F6F6F;111;111;111;53;0.3279;Grünland;51.47
oberschwaben_admin_context.png;exact_top;10;#D3D3D3;211;211;211;47;0.2908;Dauerkultur / Sondernutzung;149.97
oberschwaben_admin_context.png;exact_top;11;#F7F7F7;247;247;247;36;0.2227;Dauerkultur / Sondernutzung;209.81
oberschwaben_admin_context.png;exact_top;12;#535353;83;83;83;29;0.1794;Grünland;61.85
oberschwaben_admin_context.png;exact_top;13;#ACACAC;172;172;172;29;0.1794;Dauerkultur / Sondernutzung;89.13
oberschwaben_admin_context.png;exact_top;14;#585858;88;88;88;28;0.1732;Grünland;57.18
oberschwaben_admin_context.png;exact_top;15;#F9F9F9;249;249;249;26;0.1609;Dauerkultur / Sondernutzung;213.17
oberschwaben_admin_context.png;exact_top;16;#FEFEFE;254;254;254;24;0.1485;Dauerkultur / Sondernutzung;221.6
oberschwaben_admin_context.png;exact_top;17;#CACACA;202;202;202;23;0.1423;Dauerkultur / Sondernutzung;135.37
oberschwaben_admin_context.png;exact_top;18;#FBFBFB;251;251;251;23;0.1423;Dauerkultur / Sondernutzung;216.54
oberschwaben_admin_context.png;exact_top;19;#FCFCFC;252;252;252;21;0.1299;Dauerkultur / Sondernutzung;218.23
oberschwaben_admin_context.png;exact_top;20;#565656;86;86;86;21;0.1299;Grünland;58.94
oberschwaben_admin_context.png;quantized_top;1;#808080;128;128;128;12979;80.2957;Dauerkultur / Sondernutzung;49.88
oberschwaben_admin_context.png;quantized_top;2;#FFFFFF;255;255;255;1558;9.6387;Dauerkultur / Sondernutzung;223.29
oberschwaben_admin_context.png;quantized_top;3;#505050;80;80;80;292;1.8065;Grünland;65.04
oberschwaben_admin_context.png;quantized_top;4;#F0F0F0;240;240;240;255;1.5776;Dauerkultur / Sondernutzung;198.05
oberschwaben_admin_context.png;quantized_top;5;#E0E0E0;224;224;224;187;1.1569;Dauerkultur / Sondernutzung;171.37
oberschwaben_admin_context.png;quantized_top;6;#D0D0D0;208;208;208;164;1.0146;Dauerkultur / Sondernutzung;145.08
oberschwaben_admin_context.png;quantized_top;7;#606060;96;96;96;155;0.9589;Grünland;51.9
oberschwaben_admin_context.png;quantized_top;8;#707070;112;112;112;144;0.8909;Grünland;51.9
oberschwaben_admin_context.png;quantized_top;9;#C0C0C0;192;192;192;125;0.7733;Dauerkultur / Sondernutzung;119.43
oberschwaben_admin_context.png;quantized_top;10;#A0A0A0;160;160;160;114;0.7053;Dauerkultur / Sondernutzung;72.83
