country,m49_code,iso3,year,drained_organic_soils_area_ha,co2_kt_co2,n2o_ar5_kt_co2e,n2o_kt_gas_diagnostic,emissions_total_kt_co2e,emissions_density_t_co2e_per_ha,hotspot_class,hotspot_rank_total,hotspot_rank_density,source_area,source_co2,source_n2o_co2e,data_quality_note
Indonesia,360,,2019,4887782.0,239395.0,31611.0,37.0,271006.0,55.44559884217422,very_high,1,11,emissions-from-drained-organic-soils.csv,emissions-from-drained-organic-soils.csv,emissions_agriculture_cultivated_organic_soils_e_all_data_norm.csv,"Interim Phase B2b country-level dataset; country-name join, ISO3 join pending."
Russian Federation,643,,2019,1889563.0,52596.0,6249.0,36.0,58845.0,31.14212122062085,very_high,2,57,emissions-from-drained-organic-soils.csv,emissions-from-drained-organic-soils.csv,emissions_agriculture_cultivated_organic_soils_e_all_data_norm.csv,"Interim Phase B2b country-level dataset; country-name join, ISO3 join pending."
United States of America,840,,2019,1545947.0,50226.0,7036.0,21.0,57262.0,37.04007964050514,very_high,3,47,emissions-from-drained-organic-soils.csv,emissions-from-drained-organic-soils.csv,emissions_agriculture_cultivated_organic_soils_e_all_data_norm.csv,"Interim Phase B2b country-level dataset; country-name join, ISO3 join pending."
Belarus,112,,2019,1488751.0,41955.0,4906.0,29.0,46861.0,31.476721090363668,very_high,4,51,emissions-from-drained-organic-soils.csv,emissions-from-drained-organic-soils.csv,emissions_agriculture_cultivated_organic_soils_e_all_data_norm.csv,"Interim Phase B2b country-level dataset; country-name join, ISO3 join pending."
Canada,124,,2019,1369770.0,38145.0,4348.0,26.0,42493.0,31.02199639355512,very_high,5,58,emissions-from-drained-organic-soils.csv,emissions-from-drained-organic-soils.csv,emissions_agriculture_cultivated_organic_soils_e_all_data_norm.csv,"Interim Phase B2b country-level dataset; country-name join, ISO3 join pending."
Malaysia,458,,2019,661308.0,31679.0,4276.0,4.0,35955.0,54.36952221960115,very_high,6,18,emissions-from-drained-organic-soils.csv,emissions-from-drained-organic-soils.csv,emissions_agriculture_cultivated_organic_soils_e_all_data_norm.csv,"Interim Phase B2b country-level dataset; country-name join, ISO3 join pending."
Poland,616,,2019,1057818.0,28322.0,3470.0,19.0,31792.0,30.054319363066238,very_high,7,71,emissions-from-drained-organic-soils.csv,emissions-from-drained-organic-soils.csv,emissions_agriculture_cultivated_organic_soils_e_all_data_norm.csv,"Interim Phase B2b country-level dataset; country-name join, ISO3 join pending."
Germany,276,,2019,1110177.0,27532.0,3651.0,19.0,31183.0,28.08831384544987,very_high,8,84,emissions-from-drained-organic-soils.csv,emissions-from-drained-organic-soils.csv,emissions_agriculture_cultivated_organic_soils_e_all_data_norm.csv,"Interim Phase B2b country-level dataset; country-name join, ISO3 join pending."
Mongolia,496,,2019,1026776.0,22290.0,3539.0,15.0,25829.0,25.1554379923177,very_high,9,90,emissions-from-drained-organic-soils.csv,emissions-from-drained-organic-soils.csv,emissions_agriculture_cultivated_organic_soils_e_all_data_norm.csv,"Interim Phase B2b country-level dataset; country-name join, ISO3 join pending."
Papua New Guinea,598,,2019,443316.0,21401.0,2738.0,3.0,24139.0,54.45100109177201,very_high,10,16,emissions-from-drained-organic-soils.csv,emissions-from-drained-organic-soils.csv,emissions_agriculture_cultivated_organic_soils_e_all_data_norm.csv,"Interim Phase B2b country-level dataset; country-name join, ISO3 join pending."
Ukraine,804,,2019,689075.0,19521.0,2186.0,12.0,21707.0,31.501650763704966,very_high,11,50,emissions-from-drained-organic-soils.csv,emissions-from-drained-organic-soils.csv,emissions_agriculture_cultivated_organic_soils_e_all_data_norm.csv,"Interim Phase B2b country-level dataset; country-name join, ISO3 join pending."
Bangladesh,50,,2019,356695.0,17544.0,2221.0,2.0,19765.0,55.411486003448324,high,12,12,emissions-from-drained-organic-soils.csv,emissions-from-drained-organic-soils.csv,emissions_agriculture_cultivated_organic_soils_e_all_data_norm.csv,"Interim Phase B2b country-level dataset; country-name join, ISO3 join pending."
Zambia,894,,2019,352487.0,14553.0,2420.0,2.0,16973.0,48.152130433179096,high,13,42,emissions-from-drained-organic-soils.csv,emissions-from-drained-organic-soils.csv,emissions_agriculture_cultivated_organic_soils_e_all_data_norm.csv,"Interim Phase B2b country-level dataset; country-name join, ISO3 join pending."
Myanmar,104,,2019,297879.0,14063.0,1846.0,1.0,15909.0,53.40759167312902,high,14,22,emissions-from-drained-organic-soils.csv,emissions-from-drained-organic-soils.csv,emissions_agriculture_cultivated_organic_soils_e_all_data_norm.csv,"Interim Phase B2b country-level dataset; country-name join, ISO3 join pending."
Finland,246,,2019,503051.0,13839.0,1743.0,9.0,15582.0,30.97499060731417,high,15,59,emissions-from-drained-organic-soils.csv,emissions-from-drained-organic-soils.csv,emissions_agriculture_cultivated_organic_soils_e_all_data_norm.csv,"Interim Phase B2b country-level dataset; country-name join, ISO3 join pending."
Ireland,372,,2019,530136.0,10861.0,1808.0,7.0,12669.0,23.897641359952917,high,16,91,emissions-from-drained-organic-soils.csv,emissions-from-drained-organic-soils.csv,emissions_agriculture_cultivated_organic_soils_e_all_data_norm.csv,"Interim Phase B2b country-level dataset; country-name join, ISO3 join pending."
South Sudan,728,,2019,252376.0,9362.0,1814.0,1.0,11176.0,44.28313310298919,high,17,44,emissions-from-drained-organic-soils.csv,emissions-from-drained-organic-soils.csv,emissions_agriculture_cultivated_organic_soils_e_all_data_norm.csv,"Interim Phase B2b country-level dataset; country-name join, ISO3 join pending."
Sweden,752,,2019,362568.0,9782.0,1343.0,6.0,11125.0,30.683899296132036,high,18,63,emissions-from-drained-organic-soils.csv,emissions-from-drained-organic-soils.csv,emissions_agriculture_cultivated_organic_soils_e_all_data_norm.csv,"Interim Phase B2b country-level dataset; country-name join, ISO3 join pending."
Lithuania,440,,2019,349494.0,9668.0,1153.0,6.0,10821.0,30.961904925406444,high,19,60,emissions-from-drained-organic-soils.csv,emissions-from-drained-organic-soils.csv,emissions_agriculture_cultivated_organic_soils_e_all_data_norm.csv,"Interim Phase B2b country-level dataset; country-name join, ISO3 join pending."
