country,year,drained_organic_soils_area_ha,n2o_ar5_kt_co2e,n2o_density_t_co2e_per_ha,hotspot_class,n2o_rank_total,n2o_rank_density,source_file,source_note,data_quality_note
Indonesia,2019,4837218.0,31611.0,6.534954595802794,very_high,1,17,emissions_agriculture_cultivated_organic_soils_e_all_data_norm.csv,FAOSTAT/KAPSARC Cultivation of organic soils export; N2O component only.,Interim Phase B2a country-level dataset; exact year only; excludes CO2 emissions from drained cropland/grassland organic soils.
United States of America,2019,1557278.0,7036.0,4.518139985282011,very_high,2,48,emissions_agriculture_cultivated_organic_soils_e_all_data_norm.csv,FAOSTAT/KAPSARC Cultivation of organic soils export; N2O component only.,Interim Phase B2a country-level dataset; exact year only; excludes CO2 emissions from drained cropland/grassland organic soils.
Russian Federation,2019,1879903.0,6249.0,3.324107680023916,very_high,3,62,emissions_agriculture_cultivated_organic_soils_e_all_data_norm.csv,FAOSTAT/KAPSARC Cultivation of organic soils export; N2O component only.,Interim Phase B2a country-level dataset; exact year only; excludes CO2 emissions from drained cropland/grassland organic soils.
Belarus,2019,1472847.0,4906.0,3.330963772883402,very_high,4,53,emissions_agriculture_cultivated_organic_soils_e_all_data_norm.csv,FAOSTAT/KAPSARC Cultivation of organic soils export; N2O component only.,Interim Phase B2a country-level dataset; exact year only; excludes CO2 emissions from drained cropland/grassland organic soils.
Canada,2019,1315373.0,4348.0,3.3055262651734525,very_high,5,73,emissions_agriculture_cultivated_organic_soils_e_all_data_norm.csv,FAOSTAT/KAPSARC Cultivation of organic soils export; N2O component only.,Interim Phase B2a country-level dataset; exact year only; excludes CO2 emissions from drained cropland/grassland organic soils.
Malaysia,2019,671327.0,4276.0,6.369474190670121,very_high,6,28,emissions_agriculture_cultivated_organic_soils_e_all_data_norm.csv,FAOSTAT/KAPSARC Cultivation of organic soils export; N2O component only.,Interim Phase B2a country-level dataset; exact year only; excludes CO2 emissions from drained cropland/grassland organic soils.
United Kingdom,2019,1315141.0,4205.0,3.1973757946866534,very_high,7,86,emissions_agriculture_cultivated_organic_soils_e_all_data_norm.csv,FAOSTAT/KAPSARC Cultivation of organic soils export; N2O component only.,Interim Phase B2a country-level dataset; exact year only; excludes CO2 emissions from drained cropland/grassland organic soils.
Germany,2019,1102905.0,3651.0,3.3103485794334055,very_high,8,71,emissions_agriculture_cultivated_organic_soils_e_all_data_norm.csv,FAOSTAT/KAPSARC Cultivation of organic soils export; N2O component only.,Interim Phase B2a country-level dataset; exact year only; excludes CO2 emissions from drained cropland/grassland organic soils.
Mongolia,2019,1062413.0,3539.0,3.3310962874136516,very_high,9,52,emissions_agriculture_cultivated_organic_soils_e_all_data_norm.csv,FAOSTAT/KAPSARC Cultivation of organic soils export; N2O component only.,Interim Phase B2a country-level dataset; exact year only; excludes CO2 emissions from drained cropland/grassland organic soils.
Poland,2019,1043275.0,3470.0,3.326064556325034,very_high,10,61,emissions_agriculture_cultivated_organic_soils_e_all_data_norm.csv,FAOSTAT/KAPSARC Cultivation of organic soils export; N2O component only.,Interim Phase B2a country-level dataset; exact year only; excludes CO2 emissions from drained cropland/grassland organic soils.
Papua New Guinea,2019,437889.0,2738.0,6.252726147493999,very_high,11,30,emissions_agriculture_cultivated_organic_soils_e_all_data_norm.csv,FAOSTAT/KAPSARC Cultivation of organic soils export; N2O component only.,Interim Phase B2a country-level dataset; exact year only; excludes CO2 emissions from drained cropland/grassland organic soils.
